autor,calificacion,contenido,hotel,titulo
Markus B,50,"Amazing experience and a definite recommendation for anyone to do this trip!

Maria is just a fantastic guide! And the food of our chef Clemente was super yummy,...",Salkantay Trek to Machu Picchu in 4 Days,Great trek - 10 out of 10
Markus B,20,"Unfortunately the experience here was tainted due to two disappointments and destroyed an otherwise quite nice stay. First the good stuff: great location and co,...",Hotel Estelar Miraflores,Unfortunately an otherwise quite nice experience tainted by hotel policies
Markus B,50,"We booked a private safari for 4 people with Orange Adventures and it was indeed a ""magical life experience"" as the slogan of the company promised! From the ver,...",Nairobi National Park Excursion,"Amazing trip with a safe, professional and very personal tour company!"
Markus B,10,"Absolute Touristenfalle und Abzockerfirma, geht woanders hin!

Habe einen Groupon-Voucher gekauft (damit bekommt man statt der völlig überhöhten 20 EUR pro Pers,...",Rainer Abicht Elbreederei,Touristenfalle - weg bleiben!
Markus B,40,"Ich habe in diesem Hotel nicht übernachtet, sondern bin nur zum Frühstück gekommen. Sehr schöner Essensraum mit appetitlich angerichtetem Frühstücksbuffet, das ,...",Hotel Haus,"Tolles Frühstück, auch für 'Walk-In' Kunden, also nicht-Hotelgäste"
Markus B,10,"While the cocktails were pretty ok the service in this bar is just appalling... 

Bar was empty when me and my friend visited and had literally more staff than ,...",Oasis Resort Restaurant,Slow and unprofessional staff 
Markus B,50,"We visited the Spice Market brunch for the first time after experienced the great brunch in Market a few times before. The experience was just fantastic! They o,...",Spice Market,Awesome Friday brunch!
Markus B,40,"Hotel is about 20-30min walk away from the visitor centre, via a downhill road. If you prefer a taxi it should set you back by around JOD 1 per trip only.

Clea,...",Al Rashid Hotel,Nice and friendly hotel
Markus B,50,"One of the must-do's on any Jordan trip I guess!

Arrive early to avoid the crowds (and depending on your travel date the heat, too!). Be sure not to miss out o,...",Petra,Must Do on any Jordan trip
Markus B,50,"One of the must-do's on any Jordan trip I guess!

Arrive early to avoid the crowds (and depending on your travel date the heat, too!). Be sure not to miss out o,...",Al-Khazneh,Not to miss on any Jordan trip
Markus B,50,"One of the must-do's on any Jordan trip I guess!

Arrive early to avoid the crowds (and depending on your travel date the heat, too!). Some people stop at the t,...",Monastery (Al Dayr),"When you visit Petra, go here!"
Markus B,40,This bar belongs to the Crown Plaza Resort and offers a quite unique setting within a cave. Prices are quite high though (cocktails are around 15$).,The Cave Bar,Nice cocktails in an actual cave
Markus B,40,"We were looking for a comfortable way to take a bath in the dead sea and compared the different day passes on offer. We opted for the Dead Sea Spa hotel and wer,...",Dead Sea Spa Hotel,"Didn't stay here, just went to dead sea with a day pass"
Markus B,50,"Centrally located hotel with basically anything in close proximity: supermarket and liquor shop are within 1min walking distance, the far end of the public beac,...",Cedar Hotel,"Good location, free parking"
Markus B,30,"The hotel is OK and offered decent rooms with clean beds. However it feels very dated and should get a full renovation and new furniture.

Breakfast was served ,...",Grand Hotel Madaba,"Average hotel, dated furniture"
Markus B,40,"Centrally located with the Roman theatre literally across the street and the citadel around 20-30 min walk (uphill).

Hotel staff was very friendly and accommod,...",Amman Pasha Hotel,"Great location, opposite of Roman Theatre and friendly staff"
Markus B,50,"There were only my partner and me on this tour and we were guided by Fawaz and Bianca. 

It was an awesome experience and I highly recommend this to any Jordan ,...",Wadi Rum Nomads - Day Tours,Great over-night stay in this magical place
Markus B,30,"Hotel is in a great location directly at the lake, just separated by the highway (there are underpasses and pedestrian bridges to get on the other side and enjo,...",Chicago Lake Shore Hotel,Slightly outdated rooms with a 'motel feeling' in a great location
Markus B,50,"This tiny restaurant provides just bar seating for a dozen guests or so and you can expect a queue when you arrive at this popular breakfast spot.

However the ,...",Al's Breakfast,Tiny restaurant with a lot of atmosphere and great food
Markus B,20,"This guest house is located in a pretty quiet area and felt very safe. The room in general was OK. Service and provided amenities are not comparable with a hote,...",Keppner Guesthouse,Guest house in good location with room for improvement
Harrison F. Carter,50,A nice drive to get to and a lovely walk through the forest in the autumn. The castle is a real beauty... a special one to see. Up there with Germany's finest.,Eltz Castle,Well worth a visit
Harrison F. Carter,40,A really lovely little park leads to the wonderful castle... free to access and explore... and well worth a visit.,Schloss Paffendorf,Lovely
Harrison F. Carter,50,Had no idea that Ghent would offer so much and be as wonderful a city to visit as it was... and all so central - each attraction is only minutes apart.,Ghent City Center,Exceeded all expectations
Harrison F. Carter,40,"Another wonderful building to see in this remarkable city centre... only minutes from all the other incredible things to see... it is all so close requiring onl,...",Belfry and Cloth Hall (Belfort en Lakenhalle),Good to see
Harrison F. Carter,50,The first thing we saw after arriving in the centre and a beautiful and commanding church it is. Great to see...,Saint Nicholas Church,A beauty...
Harrison F. Carter,50,Really lovely spot and location to pretty much see the best of Ghent in a single rotation. Loved it here.,St Michael's Bridge,Highlight
Harrison F. Carter,40,"The bridge and the view of the church are really wonderful... well worth stopping for a look, both day and night.",St Michael s Church,Lovely-looking church
Harrison F. Carter,40,"It is a really impressive sight to see, just out of the immediate heart of the city centre - a few minutes walk.",Gravensteen,Good to see
Harrison F. Carter,50,"Loved it here... quieter, away from the main hustle and bustle... and very picturesque. Equal highlight of visit to Bruges.",St Bonifacius Bridge,Really pretty place...
Harrison F. Carter,50,"A wonderful way to spend a few hours, wandering the streets of the historic centre of Bruges... so much to see and absorb on an easy self-guided tour.",Historic Centre of Brugge,Wonderful to explore
Harrison F. Carter,50,"A really lovely spot to stop, observe, take a picture, get some waffles, have a coffee... a real highlight of visit.",Quai du Rosaire / Rozenhoedkaai,Picturesque
Harrison F. Carter,40,A wonderful high tower and a beautiful building... well worth a stop on a self-guided walking tour... and gives access to the beautiful bridge...,Onze-Lieve-Vrouwekerk,Good to see
Harrison F. Carter,40,"Entering Bruges centre from the south, this makes a really lovely start to a self-guided walking tour...",Minnewater Lake,A lovely start
Harrison F. Carter,50,"The Grand Place is truly that... it was wonderful to be here - easily spent an hour or two just wandering around, observing, sitting with a coffee. Really magni,...",Grand Place,Wonderful place
Harrison F. Carter,50,"Spent a good hour or two in the square to have coffee and wander around and observe the buildings, the Guild Houses being a real beauty to see.",Guild Houses,Beautiful to see
Harrison F. Carter,40,"A nice park to wander around, especially lovely in the autumn with all of the leaves, and the structures and buildings are really impressive. Well worth the vis,...",Parc du Cinquantenaire,Good to see
Harrison F. Carter,50,"Saw the town hall on a postcard elsewhere and was really impressed by it, so decided to make a detour to see it in person. It is very worthwhile and wonderful f,...",Town Hall (Stadhuis),A beauty...
Harrison F. Carter,50,"Visited Leuven just to see the town hall, but the whole area that the town hall is set in is totally worth seeing, making the visit even more worthwhile. Thorou,...",Great Market Square (Grote Markt),A great market square
Harrison F. Carter,50,"Came to Dinant solely to see this view, finding it really quite striking and unusual, and really glad to have done so... it was lovely to see on a bright and su,...",Eglise Collegiale Notre-Dame,Striking
Harrison F. Carter,40,"Nice to see in itself, with all of its colourful flags flanking its sides, and it makes a nice accent to the view across the river.",Charles-de-Gaulle Bridge,Worth a look
susieq1702,10,"No one there deserves a job! They could care less. Bartenders valet and bell men are insanely rude!!! I travel everywhere the hotel was nice but room smelt like,...",W Chicago - Lakeshore,Horrible staff!!!
susieq1702,10,"Honestly half the staff should not have jobs! Rooms smell like smoke bar tenders HATE their jobs, valet lied I found out later that the had no parking but the d,...",Chicago Lake Shore Hotel,terrible staff is an understatement valet wouldn’t park our car rooms smell like smoke bar tenders hate their job
makai1274,40,"We thoroughly enjoyed our stay especially the debacle we had with another place literally right next door to them. La Quinta immediately accommodated us and the,...",Best Western Plus Hyde Park Chicago Hotel,Last year Aug 2018 visit
makai1274,50,"Our go to spot when visiting Hyde Park and Lab/UC area. Found out a friend of ours knows the owner, cool! Very tasty food and coffee. Cute spot to sit down and ,...",Plein Air Cafe & Eatery,Cute place...yummy food
makai1274,40,"The food is was fantastic. It was tasty and delicious. Def worth the line we waited in. The only reason why I didn’t give it a full 5 star is bc it didn’t have ,...",Los Tacos No. 1,Tasty...delicious 
makai1274,30,"Went here for our daughter’s bday celebration bc it’s what she wanted to do with couple of her friends.

Perfect for teenagers to hang out to. It can be very cr,...",Chelsea Market,Cute...touristy...crowded
makai1274,30,"Food 7/10
Selections 8/10
Experience 8/10

Ummm it’s okay. Nothing amazing. Some are tasty. Will we go back? Not really. We tried it now we’re moving on. ",Doughnuttery,It’s aaasiiiiggghhtt. 
makai1274,50,"Our friend made a plate out of their leftovers and boy were we jealous. We ended up ordering our own and it did not disappoint. Great food. Def get a side of jo,...",Goree Cuisine,Very good!
makai1274,50,"Clean, clean, clean!

Lobby is impressive. 

Great renovation. 

Breakfast...well, it’s free breakfast nothing out of the ordinary. Coffee was good. Their waffl,...",Fairfield Youngstown Austintown,Great Stop Over
makai1274,30,"The anticipation definitely did not live up to what we have expected. Because it was an Alinea Restaurant Group we thought highly of Roister. The website looks ,...",Roister,It’s aaiighhhht
makai1274,50,"Our go to place every time we visit Chicago! Great service, great food, great view. It fades most established fine dining restaurant. A perfect place to introdu,...",Kendall College,Best Kept Secret that shouldn’t be a secret
makai1274,50,"No complaints. Good rates. Clean facility and room. Updated. Breakfast is good too. Didn’t get a chance to swim in their indoor pool and can’t say much about it,...",Holiday Inn Express & Suites Youngstown West - Austintown,Great overnight stop
makai1274,10,"Had to cancel our stay immediately. On hotels.com it had options for double bed. When we arrived we were told they only have king size bed in the rooms. We ende,...",Chicago Lake Shore Hotel,Canceled our stay immediately 
makai1274,40,"First and foremost, after reading the bad reviews I had some reservations. I thought we were going into a really country hick 
sh!thole. But instead we were ple,...",Golden Sands Resort on Lake George,Pleasantly Surprised
makai1274,10,"80’s style hotel buffet food.

Not worth the money. Views great that is all.

Disappointment. 

At first we were like...”ooooohhhhh, aaaahhhhh, whooaaaaaa....TH,...",Boathouse Restaurant,"Nice view, awful food"
makai1274,50,"We discovered Pauline's by accident last year in the early summer for a wedding. As we entered VT we were heading to Colchester and were pretty hungry by evenin,...",Pauline's Restaurant,Our regular go-to when visiting VT
makai1274,40,"Not much to see but it was fun. Worth it otherwise. 

Family ended up coming up with a theme song that will become a video while roaming around lol 

Some merch,...",Ben & Jerry's,Fun time!
makai1274,30,"Basic and dated, but clean. 

For our family it served our purpose well. We wanted a suite but not pay for the premium rates. We stayed in a 1 bedroom suite w/f,...",Handys Extended Stay Suites,No it's not luxury but it serves its purpose 
makai1274,40,"Craving for something warm to eat in this current cool weather. A friend recommended this spot to meet up while in town. 

The soup was great. But the pork bun ,...",Gaku Ramen,Really good
makai1274,40,"When looking to book at The Pointe some reviews were disappointed by what they expected and what they actually experienced. We were hesitant and weighed the rev,...",The Pointe at Castle Hill Resort & Spa,Pleasantly surprised!
makai1274,40,"Had a good time. Most importantly my daughter had a good time. 

The ""roller coaster"" was fun. 

Everything else was ""eh"" but then again if the children loves i,...",Okemo Mountain Resort,Adventure Zone @ Mt. Okemo
makai1274,30,"Okay, so first off this is what I wouldn't call real mexican food. However, strangely enough it hit the spot after an all day excursion on Mt. Okemo Resort Adve,...",Tacos Tacos,Basic but I ain't mad at it
RamblinMan2110,10,"Well, this is not a good story. Chicago Lakeshore Hotel, and potential guests, please read.

Literally when we were about to unpack, cockroaches that showed up ,...",Chicago Lake Shore Hotel,"eeek, cockroaches!"
RamblinMan2110,40,"Great place and nicely located. Great staff. 

Two problems...
1) smell of the room (417). I could smell stale cigarette smell. Was not happy with that also con,...",Hotel Sorrento,Seattle Stay
Roberta H,50,"This is obviously an old stand by and justifiably very popular. The menu is large which in unusual these days and diverse with many kinds of seafood, plus other,...",Lobster Pot,"Great, with a great, diverse menu"
Roberta H,30,"This historic inn and restaurant has a web page that suggests that one needs reservations about 2 weeks in advance and that is probably correct given that it wa,...",The Red Inn Restaurant,Over-rated
Roberta H,40,"We chose the John Randall B&B primarily because of its convenient short walking distance to business area, shops and numerous restaurants. The B&B is comfortabl,...",John Randall House Bed and Breakfast and Cottages,"Good, convenient location"
Roberta H,40,"This restaurant seems to be under new management with a new name. We often went here after getting off the Badger when it was called PM Steamers.  Its a basic s,...",Crown And Cork,Basic good restaurant with standard menu
Roberta H,40,"We were looking for a somewhat upscale restaurant in Ludington and Table 14 is the obvious best choice. I appreciated the Southern options which separates Table,...",Table 14,Different but great option for the W. Michigan lakeshore
Roberta H,30,"This is a basic hotel, 1960's style.  The beds were comfortable and the room clean. The AC was loud but worked and the TV worked. No breakfast. The place is kin,...",Ventura Motel,"Basic motel, overpriced in summer"
Roberta H,40,"Excellent choice for a classic Italian meal. Good service, great decor.  The eggplant was fantastic. Best I've had in a long time.  Obviously locally very popul,...",Lombardino's Restaurant,Classic Italian
Roberta H,10,"To quickly summarize -- no iron -- the staff couldn't locate one, I got one out of another room being cleaned,   AC didn't work,  controller for TV didn't work,,...",Super 8 by Wyndham Madison South,Poorly serviced room -- overpriced
Roberta H,30,"This restaurant is more upper end so it was not surprising that the prices were a few $$ more than one would expect at more mid-range restaurants. The food was ,...",Nicollet Island Inn Restaurant,Sunday brunch with friends
Roberta H,40,"We went here for a light supper before  a performance at the Guthrie theater. The the restaurant has very modern decor and ambiance  without being too industria,...",Umbra,Pre-theater dinner
Roberta H,50,"This is an excellent French bistro, not over priced, good service.  The menu is small but varied. A very tasty asparagus dish was our starter.  The whitefish I ,...",Cadre Restaurant,French with an emphasis on local produce
Roberta H,40,"The Old Fashioned is clearly a very popular restaurant in Madison. It gives the impression of being an old college hangout with a menu that reflects that theme ,...",The Old Fashioned,Collegiate Atmosphere
Roberta H,20,"There were so many excellent reviews in local news and web pages that we were anxious to go here. It is difficult to get a reservation. The available times fill,...",Myriel,Disappointing food
Roberta H,20,"We'd been here a couple of times while passing through the Dells.   We liked it for a comfortable supper club experience with high quality food and beautiful ar,...",The Del-Bar,Avoid at Spring Break time
Roberta H,30,"This is obviously a tourist place, but good for kids with the railroad food delivery and huge and very well done Lego display. Food just OK, but stick to pizza ,...",Buffalo Phil's Pizza & Grille,Fantastic Lego display
Roberta H,50,"Their specialty is woodfired meats. The fireplace is clearly visible when you walk in the the smells are great outside. They have a large, diverse menu with fis,...",Doolittles Woodfire Grill,Good experience on two visits
Roberta H,40,"Post covid reopening, Axel's seems to be getting  back to their normal high standards. Best walleye in the TC, but still wish they'd bring back their crab and a,...",Axel's Restaurant,Favorite supper club restaurant
Roberta H,40,"There aren't many ""real"" sit down restaurants in the Mall. Crave is one of the two best. They have a large diverse menu. Service is good and prices (for the Mal,...",CRAVE American Kitchen & Sushi Bar - Mall of America,Good choice for MOA
Roberta H,40,"Meritage is an excellent choice for French cuisine, wine and fresh seafood.  We especially like their small patio on a warm evening with a champagne cocktail an,...",Meritage,Very French
Roberta H,40,"Trip Advisor web site seems a bit out of date. The St Paul Grill re-opened in early Oct. We went a few days later during restaurant week, so had their fixed pri,...",The St. Paul Grill,Top rated traditional supper club
dholkest,50,"We really enjoyed this tour.  The food and restaurants were well chosen, and we learned a lot about pizza and Chicago.  Our guide was Danny, and he was an excel,...",Chicago Pizza Tour,Great Tour Well Worth the Time and Money
dholkest,50,"We had a great time and really enjoyed our tour guide.  The tour was informative and fun, and we learned a lot about some of the buildings history and got a gre,...",Chicago Detours,Great tour with lots to discover and learn about
dholkest,40,"The price was great for the area and the view.  We had a K/S bed room, and like some of the other reviews, the furniture was older but not dysfunctional.  The m,...",Chicago Lake Shore Hotel,Good Budget Hotel
Robert E,50,"We have needed something like this for a very long time.  Now that Whole Foods has been here a while I cannot imagine not having them so close.  Super convenien,...",Whole Foods Market,What a Great Addition to Our Neighborhood
Robert E,40,"Great breakfast on a sunday morning.  They usually are fairly busy but are efficient in their service and seating.  Never had a bad experience of food here.  An,...",Kingside Diner,Great Breakfast
Robert E,50,I have never had a bad meal here.  Great location and value.  Consistent food and prices.  Even if I have had a complaint quickly remedied.,El Burro Loco,Great Value Great Food
Robert E,30,"Not the best or the worst of Starbucks. A few really good baristas and super friendly.  Roger and Taylor are great managers and super friendly.  The space is sm,...",Starbucks,Ehh  It is Just Ok!
Robert E,50,"As I sit here finishing on of the various cupcakes I received for my birthday I must admit, usually I am not a cupcake kind of guy.  This place has won me over.,...",The Cupcakery,Excellent Cupcakes for my Birthday
Robert E,50,"Really have never had a bad meal or experience here.  The food is usually very consistent and a decent value for the quality of food.  The steak and eggs on the,...",Bar Italia Ristorante,Great Sunday Brunch
Robert E,40,A favorite when I travel to Springfield.  Good food and a great price and something for everyone.  Casual and comfy is always okay.,Big Whiskey's American Restaurant & Bar - Downtown,Great Servings Great Prices
Robert E,40,"Love the feel and vibe of this pub.  So many choices you can't possibly not find something you like.  Live a little be adventurous and try something new......th,...",Finnegan's Wake,Great Gathering Place for Happy Hour
Robert E,50,"I live right around the corner from the St. Louis Central West End location so i was happy to see my favorite deli on my recent trip to Springfield.  Pickelman',...",Pickleman's Gourmet Cafe,Every Location is Great
Robert E,50,"Great food. Great price.  Sunday Brunch is the best.  All you care to drink mimosas aren't bad either.  The wait might seem long and really crowded on the weeke,...",Gailey's Breakfast Cafe,Sunday Brunch
Robert E,50,"What an incredible hotel and venue for a wedding. I honestly cannot say enough about this hotel.  The service and staff are impeccable. The rooms, linens, and t,...",Hotel Vandivort,Daughters Wedding Was Sublime
Robert E,50,"Anything from full meals to happy hour my experiences here have always been spot on!  Possibly I have had a server here or there.........in the many years I hav,...",Brio Italian Grille,The Best Happy EVER!
Robert E,50,"Growing up with Ted Drewes as a tradtion is just part of being a native St. Louis kid.  A must destination before a game ...after a game......or even on a hot s,...",Ted Drewes Frozen Custard,A St Louis Tradtion How Can you EVER go wRONG????
Robert E,40,"I grey up in this neighborhood, so my opinion holds memories and nostalgia.  The food is impeccable, the bars are great, the theatre is so close to home, what i,...",The Royal Sonesta Chase Park Plaza,Amazing Property
Robert E,50,"Okay, confession as I type this review I am now craving their chips n salsa and fajitas.  Servings are huge.  I have never had a bad experience or meal here.  W,...",Chava's Mexican Restaurant,My Favorite Mexican EVER.
Robert E,40,"Great place for a family gathering.  Great selections for different appetites and price ranges.  Everything we got was really good and we even sampled each othe,...",Biggie's Restaurant,Friends and Family Birthday Gathering
Robert E,50,"What an incredibly classy and elegant St. Louis tradition.  This has always been my families favorite tradition when we have something to celebrate.  Then again,...",Kreis Steakhouse,The BEST St Louis Tradition for PRIME RIB
Robert E,50,"I can remember when they were first redoing The Fox in the 80s.  What an incredible experience for a young kid to have in St. Louis.  You feel like you are tran,...",The Fabulous Fox Theatre,Incredible ALWAYS!
Robert E,30,"Growing up in north county and now moved to the city, but this is worth the drive for the burgers!  Best ever. Friendly and casual dining.  Great service and co,...",Hendel's,YUMMY Burger!
Robert E,50,"So...the old saying...something good is worth waiting for applies.  This is the best place for brunch, lunch, breakfast whatever you choose to call it.  The atm,...",Rooster,Wait time.......if there is a wait.....IT is worth it!!!
L B,50,"This was convenient, We reserved when we booked our trip and they were ready for us when we arrived when we got off the plane it was super easy and nice.  I wou,...",Amstar DMC,Very nice.
L B,50,"We were here for the Cenote...however the day we were on our tour it was raining and lightening so we were unable to swim.  We tried to wait it out but it didn',...",Selva Maya Eco Adventure,Beautiful area
L B,50,"Took the ferry over Isla Mujeres. It was a quick ride the ferry cuts off at a certain time and only runs every 30 minutes so don't miss the boat or you will be ,...",Ultramar,Good shopping and sights
L B,40,"It was beautiful to see. The day we were on our tour it began to rain so we could not swim in the cenote. We tried to wait it out but the rain was coming down h,...",Sacred Cenote,A sight to see!
L B,50,"This was a great tour...long day, plan on 12 hours, but great.  We made enough restroom stops.  However, we had a miscommunication when we set up and thought it,...",Chichen Itza Clasic with Sacred Cenote from Playa del Carmen and Mayan Riviera,Loved the tour.
L B,50,"This was an amazing sight to see.  I recommend an umbrella, sunscreen lots of water and a hat as it is super hot there with hardly any shade.  It is so beautifu,...",Chichen Itza,A must see
L B,50,"A group of us came to play Archery for a couple hours and had a wonderful time.  We took a couple breaks in between games and switched up teams.  There is tons ,...",The Tailgate Garage,Fantastic place for group fun or date night
L B,30,"I haven't flown Spirit...I was shocked you had to pay for your bags.  The seats don't recline and you have to pay for snacks and drinks. Nothing is included. No,...",Spirit Airlines,Average
L B,50,"This resort is so nice.  The service is fantastic, things are open late, the staff is super nice, everything is very clean, the food is good and there are many ,...",Hotel Riu Palace Las Americas,Absolutely Beautiful
L B,50,"Really pretty.  Go early in the year, we went at the end of August and it was a 90 degree day and most of the falls were dried up.  I would go back to see them ,...",Hocking Hills State Park,Beautiful area
L B,40,"I attended an event earlier this month. Valet parking was not ready for the amount of people at this event.
The event room was beautiful and inside staff was we,...",The Townsend Hotel,Want to see more
L B,50,So many flavors to choose from...it was hard to pick. So we got three different flavors. Veryyyy good.,Original Murdick's Fudge,Fudge fudge and more fudge
L B,50,"Beautiful casino. Clean, big many options for games. Lots of restaurants and bars. Tons to pick from. I will return this was just a quick visit while coming hom,...",Firekeepers Casino Hotel,Casino
L B,50,"Stopped in while on a road trip. Everyone was so friendly checking to see if we needed assistance. Great variety of slots/games. I would stop in again when in t,...",Horseshoe Hammond,Beautiful place and friendly staff
L B,30,"I had never been to Six Flags so I decided it was time to go on a road trip. Plus short lines. Dislike had to pay for things that should be included, Halloween ,...",Six Flags Great America,Rollercoasters
L B,50,"Stayed for a few nights while at Six flags for the weekend. Hotel was very clean. Breakfast everyday. Staff very friendly. Reasonable prices. I would stay again,...",Baymont Inn & Suites by Wyndham Mundelein near Vernon Hills,Clean Rooms
L B,50,Go to this park/ Beach to admire the view of the bridge. It is beautiful. Lighthouse nearby. Not far from town.,Bridge View Park,Great View
L B,50,"Saw Evil Dead on opening night!!! It was interactive, funny, like the movies. Just fantastic! 
Seating is wonderful intimate so every spot is great. Bar right o,...",City Theatre,Evil Dead
L B,50,The hiking and sight seeing is beautiful. Take your time and adventure. It is beautiful here. Upper and lower.,Tahquamenon Falls State Park,Awesome
L B,50,Convenient ferry rides to the island.  They have many docks so be careful you might not be dropped off where you think you will be.,Shepler's Mackinac Island Ferry,Boat rides
TB7310,50,"Just eaten in the restaurant here, where we are staying overnight. The service was outstanding, efficient and friendly. We thought that it was great value too, ,...",Premier Inn London Gatwick Airport (North Terminal) Hotel,Excellent 
TB7310,50,"Friendly service, excellent menu and excellent value.
Thoroughly enjoyed our visit and will return next time I am in Vegas. ",Black Bear Diner,Excellent 
TB7310,50,"Came across this in Pahrump, whilst driving out from Vegas to Death Valley. So glad we did. Excellent buffet, at great price, with really friendly staff. Cannot,...",Silver Spur Buffet & Cafe,Excellent 
TB7310,50,"First visit to Whitby and stayed in the Royal. The building is a bit tired but more than compensated for by the quality and facilities in the room and the sea v,...",Royal Hotel Whitby,Excellent 
TB7310,50,"Excellent location, great facilities and great value with really friendly staff. Plenty of free car parking. Hotel aligned to a Country Club and Golf Course so ,...",Hollins Hall Hotel & Country Club Leeds,Great Value 
TB7310,50,"Outstanding.
On our daughters recommendation, we came for a Sunday lunch. Wow. Excellent food, good portions, staff very attentive and good selection of beers. ,...",The Lawrence Arms,Outstanding
TB7310,50,"One of our daughters has a Sunday lunch here, quite often and raves about it so today we went with our daughters and their families, a total of 9 people. We onl,...",King Street Tavern,"Wow, brilliant. "
TB7310,50,"Fifth visit here, this trip, for either breakfast or Sunday Roast.
Lovely fresh cooked food and great portions. Super value. Really friendly staff. Cannot recom,...",Olive Garden Deli,Excellent 
TB7310,50,"A regular stop for us on our twice yearly visits to Tenerife. Owner always friendly, great service and great value food and drink. ",Tamboril,Excellent 
TB7310,50,"Outstanding value. Probably the best budget hotel we have stayed in. Originally planned a one night stay but we were so impressed that we stayed another night.
,...","Holiday Inn Express Birmingham - Walsall, an IHG Hotel",Outstanding
TB7310,50,"Celebrated nephews birthday and was our first visit. Great food, great portions and superb service from Freya. Will definitely visit again. ",L'Osteria,L'osteria Southampton. Excellent. 
TB7310,50,"Just spent two nights here.
Lovely site with very clean, modern facilities. Good size pitches for motor homes. Friendly staff and a great pre ordered breakfast ,...",Hill Cottage Farm Camping & Caravan Park,Excellent 
TB7310,50,"Visited with a family group of 14 and had the most fantastic Sunday Roast dinners that we had experienced in a long time and we eat out a lot. Congratulations t,...",Firehouse Grill,Outstanding 
TB7310,50,"Writing this, having arrived at the premises earlier this evening. So impressed with the friendly welcome at check-in and the quality and cleanliness of the roo,...",Rodeway Inn On Historic Route 66,Outstanding 
TB7310,50,We visited today and what a lovely welcome we received from the team. Great stop with a real Route 66 feel and loads of memorabilia everywhere. Don't miss it. ,Bagdad Cafe,Outstanding Welcome 
TB7310,50,"An iconic Route 66 stop, with facilities for travellers needing a stop. Great Route 66 Gift Shop and a real friendly smile and attitude from the lady working th,...",The Jack Rabbit Trading Post,Great Route 66 stopped 
TB7310,50,"This is one of only two hotels that has provided me with such breathtaking views and the other was at Niagara Falls.
Lovely rooms but the jewel in the crown is ,...",The View Hotel,Simply Stunning 
TB7310,50,"Ate here this afternoon. The stunning location was matched by excellent service from smiley staff and the food was excellent. This Restaurant has my strongest r,...",Twin Rocks Cafe,Stunning 
TB7310,50,"Just spent a lovely night here. A great character Route 66 Motel. Superb decoration. Very clean. The two reception staff we met, Christa and Dawn were lovely an,...",Silver Saddle Motel,Outstanding. Superb staff 
TB7310,40,"A great value, basic motel with a lot of character. Very clean and tidy. Only criticism was the breakfast wasn't brilliant. The staff were very friendly and wou,...",Shamrock Country Inn,Great Value 
rowanandersonnz,50,"Trying to solve the clues ,milking a cow and 4 people trying to load hay bales driving a tractor.
The manager was super friendly, funny and helpful.",Escape HQ,Great indoor fun to test the brain and team cooperation
rowanandersonnz,40,"Sat on the shady side but the whole of the stadium has excellent views plus TV's and score board.
A great stadium to see any event.",Waikato Stadium,Rugby 7's
rowanandersonnz,50,"Our group of 31 teenagers had a very interesting tour, full of inside information and knowledge of how special effects are done. They were able to feel several ,...",Official Weta Cave Workshop Tour: Private Group Including up to 10 guests,Great insight into movie effects
rowanandersonnz,40,"The all-you-can-eat pizza dinner was a real treat for our group.The 2 tour leaders and bus driver enjoyed their well stocked, spacious units.
The big spa pool a,...",Rainforest Retreat,Group stay of 31 teenagers
rowanandersonnz,50,"20 of my friends and family stayed in the old nurses home for this evening of hilarity to celebrate my 70th birthday. I would recommend this to any adult group ,...",Snowy Waters - The Old Nurses Home,Murder/Mystery weekend
rowanandersonnz,40,"Enjoyed the happy hour afternoon trying the craft beers and a very nice platter of food. The service was excellent and we could choose whatever music we wanted ,...",Tap Station,Refreshing craft beer
rowanandersonnz,50,"We were really surprised at the size and quality of our rooms which are  beautifully colour coordinated Nd fully stocked. The swimming pool, waterpark and other,...",Astoria Palawan,"Beautiful, well run resort"
rowanandersonnz,40,"Enjoyed an icecream and a beer after our tour of Intramuros. Had a good chat to Ben, the owner,and got referred to an excellent local buffet for lunch.",Patio de Conchita,Refresh after Bambike tour
rowanandersonnz,50,"The service here was friendly, coffee and food awesome and better still it was in the shade with fans blowing cool air.",Mea Culpa Pizzeria & Trattoria,Great service
rowanandersonnz,40,"Felt like s fresh salad and that's what we got. The service was excellent and we could watch the world go by. Even better it was at the end of the street where ,...",Osteria al Pozzo Roverso,Dinner time
rowanandersonnz,50,"We had to get to Europe so decided to have a stopover in Chicago as Air NZ flies direct. It was a long way but the service and ease of checkin online was awesom,...",Air New Zealand,Direct flight
rowanandersonnz,50,"We were very hungry and my friend is vegan. She had googled local vegan restaurants and found this one. It was well worth having a meal there. Tasty, natural an,...",Native Foods,Fresh and delicious
rowanandersonnz,40,"Really enjoyed the closeness to the numerous parks and lske for walking. Shoes were nearby, the hotel cafe is full of characters and very friendly. A free shutt,...",Chicago Lake Shore Hotel,Great area
rowanandersonnz,50,"The commentator, Adam, gave a non stop commentary on the history and achitechture of Chicago. We went up 3 river arms and found the trip interesting and informa,...",Chicago Architecture River Cruise,Excellent cruise
rowanandersonnz,50,Met with an overseas family with a baby for breakfast. The staff set everything up to accommodate a pushchair. The food was delicious and very reasonable.,Markyles Coffee and Food Establishment,Very helpful staff
