amenities,ciudad,descripcion,direccion,nombre,precio,valoracion
"Paid private parking on-site,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Free breakfast,Bowling offsite,Patio,Pets Allowed ( Dog / Pet Friendly ),Parking,Wifi,Paid internet,Pool / beach towels,Outdoor pool,Breakfast available,Breakfast buffet,Outdoor dining area,Snack bar,Vending machine,Airport transportation,Car hire,Taxi service,Business Center with Internet Access,Conference facilities,Banquet room,Meeting rooms,BBQ facilities,Baggage storage,Convenience store,Newspaper,Non-smoking hotel,Outdoor fireplace,Outdoor furniture,Picnic area,Shared lounge / TV area,Sun deck,Sun loungers / beach chairs,24-hour front desk,Express check-in / check-out,Laundry service,Self-serve laundry,Blackout curtains,Air conditioning,Desk,Dining area,Coffee / tea maker,Cable / satellite TV,Sofa bed,Bath / shower,Fireplace,Housekeeping,Seating area,Sofa,Telephone,Wardrobe / closet,Iron,Private bathrooms,Wake-up service / alarm clock,Kitchenette,Dishwasher,Microwave,Oven,Refrigerator,Stovetop,Kitchenware,Flatscreen TV,On-demand movies,Radio,Complimentary toiletries,Hair dryer,Non-smoking rooms,Suites,Family rooms",Atlanta,"Feel right at home when you stay in the comfortable suites of Residence Inn by Marriott Atlanta Buckhead. The perfect spot to explore Georgia from, our extended-stay hotel in Atlanta is near frequently visited sights including the Atlanta International School and Piedmont Atlanta Hospital. Before checking out the Buckhead area, get a good night's sleep in our studio or two-bedroom suites thanks to our luxurious bedding. Take care of your business obligations using our free high-speed Wi-Fi and ergonomic workstations, then prepare yourself a homemade meal in your fully equipped kitchen. In the morning, head over to our complimentary breakfast buffet for some of your favorite hearty and healthy options. Squeeze in a workout at our fitness center before taking a refreshing dip in our outdoor pool. Whether you're conducting business or simply exploring the area, enjoy your time spent at Residence Inn by Marriott Atlanta Buckhead.,HOTEL STYLE,Mid-range,Family","2960 Piedmont Road NE, Atlanta, GA 30305",Residence Inn by Marriott Atlanta Buckhead,,3.5
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Business Center with Internet Access,Conference facilities,Baggage storage,Wifi,Restaurant,Breakfast available,Banquet room,Meeting rooms,Convenience store,Non-smoking hotel,24-hour front desk,Dry cleaning,Laundry service,Self-serve laundry,Air conditioning,Room service,Microwave,Refrigerator,Flatscreen TV,Non-smoking rooms,Suites,Family rooms",Atlanta,"Just off I-285 and only 25 minutes north of Atlanta's Hartfield-Jackson International Airport, the renovated DoubleTree by Hilton Hotel Atlanta - Northlake provides comfortable accommodations in a suburban setting. Landscaped gardens and sparkling water features, a lobby showcasing the Double-Shot Café, a business center kiosk, and Marlow's Tavern ensure the hotel offers something for all visitors. Our convenient corporate office park location provides easy access to local companies and businesses including: Kroger Company Sherwin-Williams Company Quest Diagnostics Ricoh USA CSM America Labcorp Top-rated attractions nearby include: Stone Mountain Park Fernbank Museum of Natural History The Forum at Peachtree Parkway Michael C. Carlos Museum Broad Street Antique Center Fernbank Science Center Choose from stylish queen and king bed rooms at DoubleTree by Hilton Hotel Atlanta - Northlake.,HOTEL STYLE,Mid-range,Green","4156 Lavista Road, Atlanta, GA 30084",DoubleTree by Hilton Hotel Atlanta - Northlake,,4.0
"Paid private parking on-site,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Free breakfast,Children Activities (Kid / Family Friendly),Pets Allowed ( Dog / Pet Friendly ),Business Center with Internet Access,Secured parking,Wifi,Outdoor pool,Bar / lounge,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Conference facilities,Banquet room,Meeting rooms,Non-smoking hotel,Outdoor furniture,Shops,ATM on site,First aid kit,24-hour front desk,Dry cleaning,Laundry service,Self-serve laundry,Air conditioning,Desk,Seating area,Telephone,Kitchenette,Microwave,Cable / satellite TV,Flatscreen TV,Wake-up service / alarm clock,Refrigerator,Non-smoking rooms,Suites,Family rooms",Atlanta,"With a stay at Staybridge Suites Atlanta - Midtown in Atlanta, you'll be minutes from New American Shakespeare Tavern and Fox Theatre. This hotel is within close proximity of Atlanta Civic Center and Museum of Design Atlanta. Make yourself at home in one of the 102 guestrooms, featuring kitchenettes with full-sized refrigerators/freezers and stovetops. Flat-screen televisions with satellite programming provide entertainment, while complimentary wireless Internet access keeps you connected. Conveniences include desks and separate sitting areas, as well as phones with free local calls. Don't miss out on recreational opportunities including a 24-hour fitness center and a seasonal outdoor pool. This hotel also features complimentary wireless Internet access and barbecue grills. Mingle with other guests at a complimentary reception, held on select days. A complimentary full breakfast is included. Featured amenities include a 24-hour business center and a 24-hour front desk. Self-parking (subject to charges) is available onsite. Mingle with other guests at a complimentary reception, held on select days. A complimentary full breakfast is included.,HOTEL STYLE,Great View,Family","23 Linden Ave NW, Atlanta, GA 30308",Staybridge Suites Atlanta - Midtown,,4.0
"Free parking,Free High Speed Internet (WiFi),Pool,Free breakfast,Bowling offsite,Kids stay free,Pets Allowed ( Dog / Pet Friendly ),Airport transportation,Parking,Wifi,Outdoor pool,Complimentary tea,Vending machine,Car hire,Taxi service,Business Center with Internet Access,Baggage storage,Newspaper,Non-smoking hotel,Shared lounge / TV area,Sun terrace,Express check-in / check-out,Clothes dryer,Self-serve laundry,Washing machine,Blackout curtains,Air conditioning,Desk,Housekeeping,Coffee / tea maker,Cable / satellite TV,Extra long beds,Bath / shower,Interconnected rooms available,Seating area,Telephone,Clothes rack,Iron,Private bathrooms,Tile / marble floor,Wake-up service / alarm clock,Microwave,Oven,Refrigerator,Stovetop,Kitchenware,Flatscreen TV,Radio,Complimentary toiletries,Hair dryer,City view,Non-smoking rooms,Family rooms",Atlanta,"HOTEL STYLE,Family,Mid-range","1767 N Decatur Rd NE, Atlanta, GA 30307-1047",The University Inn at Emory,,4.0
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Patio,Kids stay free,Children Activities (Kid / Family Friendly),Parking,Wifi,Paid internet,Outdoor pool,Restaurant,Breakfast available,Breakfast buffet,Snack bar,Highchairs available,Pets Allowed ( Dog / Pet Friendly ),Free shuttle or taxi services,Business Center with Internet Access,Conference facilities,Banquet room,Meeting rooms,Baggage storage,Concierge,Convenience store,Non-smoking hotel,Outdoor furniture,Sun terrace,ATM on site,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Self-serve laundry,Blackout curtains,Air conditioning,Desk,Housekeeping,Room service,Coffee / tea maker,Cable / satellite TV,Walk-in shower,Safe,Seating area,Sofa,Telephone,Wardrobe / closet,Iron,Private bathrooms,Wake-up service / alarm clock,Microwave,Refrigerator,Flatscreen TV,Radio,Bath / shower,Complimentary toiletries,Hair dryer,Non-smoking rooms,Suites,Family rooms",Atlanta,"Renovated in 2018, the Hilton Garden Inn Atlanta Marietta is located in northwest Atlanta, a business suburb of Marietta, Georgia, in the Wildwood Business Park. Major nearby corporations include IBM, GE, Coca-Cola, The Weather Channel, Lockheed Martin, Dobbins AFB, and Manhattan Associates among others. The Hilton Garden Inn hotel is within walking distance to restaurants and shopping areas including Cobb Galleria Mall. The Hilton Garden Inn Atlanta Marietta features 123 guest rooms, including 20 suites, each equipped with a spacious work area, voice mail and complimentary WiFi. Other guest amenities include a refrigerator, microwave, iron/board and hairdryer. We also offer a 24-hour business center. Our Hilton Garden Inn hotel restaurant, The Garden Grille and Bar, serves freshly prepared breakfast daily, dinner service, and a full service bar. The Pavilion Pantry can provide any need from snacks and personal items to beer and wine.,HOTEL STYLE,Mid-range,Family","3045 Windy Hill Road, Atlanta, GA 30339",Hilton Garden Inn Atlanta Marietta,,4.5
"Paid private parking on-site,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Free breakfast,Children Activities (Kid / Family Friendly),Pets Allowed ( Dog / Pet Friendly ),Business Center with Internet Access,Meeting rooms,Parking garage,Wifi,Bar / lounge,Restaurant,Breakfast available,Breakfast buffet,Complimentary Instant Coffee,Complimentary tea,Snack bar,Wine / champagne,Photo copier / fax In business center,Baggage storage,Concierge,Convenience store,Newspaper,Non-smoking hotel,Outdoor furniture,ATM on site,24-hour front desk,Express check-in / check-out,Private check-in / check-out,Clothes dryer,Laundry service,Self-serve laundry,Washing machine,Air conditioning,Additional bathroom,Desk,Dining area,Coffee / tea maker,Cable / satellite TV,Sofa bed,Walk-in shower,Housekeeping,Interconnected rooms available,Safe,Seating area,Separate dining area,Separate living room,Sofa,Telephone,Wardrobe / closet,Clothes rack,Iron,Laptop safe,Private bathrooms,Wake-up service / alarm clock,Kitchenette,Dishwasher,Microwave,Minibar,Oven,Refrigerator,Stovetop,Kitchenware,Flatscreen TV,Radio,Bath / shower,Complimentary toiletries,Hair dryer,City view,Non-smoking rooms",Atlanta,"At Element Hotels you can stay relaxed and refreshed while away from home. Element ensures that you have everything you need to stay balanced and true to your values - whether your stay is a quick weekend getaway or a weeks-long trip.,HOTEL STYLE,Business","640-2 Peachtree Street, Atlanta, GA 30308",Element Atlanta Midtown,,4.0
"Paid public parking on-site,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Pets Allowed ( Dog / Pet Friendly ),Free shuttle or taxi services,Business Center with Internet Access,Parking,Wifi,Indoor pool,Outdoor pool,Heated pool,Restaurant,Breakfast available,Breakfast buffet,Wine / champagne,Shuttle bus service,Conference facilities,Banquet room,Meeting rooms,Baggage storage,Convenience store,Gift shop,Non-smoking hotel,Outdoor furniture,Shared lounge / TV area,First aid kit,24-hour front desk,Express check-in / check-out,Dry cleaning,Self-serve laundry,Air conditioning,Desk,Room service,Safe,Coffee / tea maker,Flatscreen TV,Complimentary toiletries,Hair dryer,Telephone,Wardrobe / closet,Iron,Wake-up service / alarm clock,Non-smoking rooms,Suites,Family rooms",Atlanta,"Sonesta Atlanta Northwest puts you in the heart of the city's cultural attractions. Within minutes of our Atlanta Galleria hotel, enjoy a day of shopping at Cumberland Mall or enjoy a day at Truist Park cheering on the Atlanta Braves. Explore downtown Atlanta for popular attractions such as Mercedes-Benz Stadium, State Farm Arena, The King Center, Six Flags Over Georgia, and the Cobb Galleria (Atlanta Convention Center). Enjoy southern cuisine at the Chattahoochee Grille where a southern menu meets European flare. Stay on top of your workout and health routine even while traveling at our state-of-the-art, 24/7 fitness center, or relax in the indoor and outdoor pool. And if business brings you to Atlanta, our 12,000 square feet of flexible meeting space includes versatile indoor and outdoor areas to accommodate up to 300 conference guests.,HOTEL STYLE,Value,Green",,Sonesta Atlanta Northwest Galleria,,4.0
"Parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Restaurant,Kids stay free,Free shuttle or taxi services,Business Center with Internet Access,Wifi,Paid internet,Hot tub,Indoor pool,Outdoor pool,Heated pool,Fence around pool,Fitness / spa locker rooms,Breakfast available,Breakfast buffet,Vending machine,Conference facilities,Banquet room,Meeting rooms,Baggage storage,Concierge,Convenience store,Non-smoking hotel,Outdoor furniture,Shared lounge / TV area,ATM on site,24-hour front desk,Dry cleaning,Laundry service,Self-serve laundry,Ironing service,Air conditioning,Housekeeping,Room service,Flatscreen TV,Non-smoking rooms,Family rooms",Atlanta,"HOTEL STYLE,Value,Quiet","200 Interstate North Parkway SE, Atlanta, GA 30339",Atlanta Marriott Northwest at Galleria,,4.0
"Free parking,Free High Speed Internet (WiFi),Free breakfast,Taxi service,Couples massage,Adults only,Baggage storage,24-hour check-in,Electric vehicle charging station,Wifi,Special diet menus,Full body massage,Massage,Non-smoking hotel,Outdoor furniture,Shared lounge / TV area,Umbrella,Express check-in / check-out,Private check-in / check-out,Blackout curtains,Bathrobes,Desk,Housekeeping,Interconnected rooms available,Safe,Cable / satellite TV,Walk-in shower,Seating area,Telephone,VIP room facilities,Wardrobe / closet,Bottled water,Clothes rack,Iron,Private bathrooms,Tile / marble floor,Wake-up service / alarm clock,Flatscreen TV,iPod docking station,Bath / shower,Complimentary toiletries,Hair dryer,Bridal suite,Non-smoking rooms,Suites",Atlanta,"HOTEL STYLE,Business,Residential Neighborhood","923 Piedmont Ave NE, Atlanta, GA 30309-4108",Stonehurst Place Bed & Breakfast,,5.0
"Paid public parking on-site,Free High Speed Internet (WiFi),Outdoor pool,Fitness Center with Gym / Workout Room,Bar / lounge,Taxi service,Meeting rooms,Baggage storage,Wifi,Fence around pool,Restaurant,Outdoor dining area,Non-smoking hotel,Sun deck,Sun loungers / beach chairs,24-hour front desk,Express check-in / check-out,Dry cleaning,Laundry service,Allergy-free room,Blackout curtains,Air conditioning,Dining area,Housekeeping,Coffee / tea maker,Cable / satellite TV,Complimentary toiletries,Soundproof rooms,Safe,Seating area,Sofa,Telephone,VIP room facilities,Wardrobe / closet,Iron,Laptop safe,Private bathrooms,Tile / marble floor,Wake-up service / alarm clock,Refrigerator,Flatscreen TV,Hair dryer,City view,Pool view,Non-smoking rooms,Suites",Atlanta,"HOTEL STYLE,Value,Quiet","3600 Piedmont Rd NE, Atlanta, GA 30305-1416",The Burgess Hotel Trademark Collection by Wyndham,,4.5
"Parking,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Free breakfast,Bicycle rental,Pets Allowed ( Dog / Pet Friendly ),Business Center with Internet Access,Conference facilities,Wifi,Breakfast buffet,Banquet room,Meeting rooms,Baggage storage,Convenience store,Non-smoking hotel,24-hour front desk,Dry cleaning,Laundry service,Self-serve laundry,Air conditioning,Housekeeping,Kitchenette,Microwave,Refrigerator,Flatscreen TV,Non-smoking rooms,Suites,Family rooms",Atlanta,"HOTEL STYLE,Centrally Located,Mid-range","134 Peachtree Street NW, Atlanta, GA 30303",Residence Inn by Marriott Atlanta Downtown,,4.0
"Paid private parking on-site,Wifi,Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Bowling offsite,Tennis court offsite,Car hire,Parking,Paid wifi,Hot tub,Pool / beach towels,Indoor pool,Heated pool,Saltwater pool,Fitness / spa locker rooms,Fitness classes,Sauna,Coffee shop,Restaurant,Breakfast available,Breakfast buffet,Breakfast in the room,Vending machine,Taxi service,Business Center with Internet Access,Conference facilities,Banquet room,Meeting rooms,Photo copier / fax In business center,Spa,Body wrap,Couples massage,Facial treatments,Makeup services,Massage,Salon,Steam room,Waxing services,Baggage storage,Concierge,Convenience store,Currency exchange,Gift shop,Non-smoking hotel,ATM on site,24-hour front desk,Express check-in / check-out,Dry cleaning,Ironing service,Bathrobes,Air conditioning,Desk,Housekeeping,Room service,Coffee / tea maker,Cable / satellite TV,Bath / shower,Safe,Seating area,Telephone,Bottled water,Iron,Private bathrooms,Wake-up service / alarm clock,Refrigerator,Flatscreen TV,On-demand movies,Radio,Complimentary toiletries,Hair dryer,Landmark view,Non-smoking rooms,Family rooms",Atlanta,"HOTEL STYLE,Family,Green","2450 Galleria Parkway, Atlanta, GA 30339",Renaissance Atlanta Waverly Hotel & Convention Center,,4.0
"Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Business Center with Internet Access,Meeting rooms,Dry cleaning,Laundry service,Restaurant,Air conditioning,Housekeeping,Room service,Non-smoking rooms,Suites",Atlanta,"HOTEL STYLE,Romantic,Charming","415 E Paces Ferry Rd NE, Atlanta, GA 30305-3306",Thompson Buckhead,,4.5
"Paid private parking on-site,Wifi,Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Bowling offsite,Patio,Pets Allowed ( Dog / Pet Friendly ),Parking,Free wired internet in the business center,Paid wifi,Pool / beach towels,Outdoor pool,Coffee shop,Restaurant,Breakfast available,Breakfast in the room,Snack bar,Wine / champagne,Free shuttle or taxi services,Business Center with Internet Access,Conference facilities,Banquet room,Meeting rooms,Baggage storage,Concierge,Convenience store,Executive lounge access,Gift shop,Non-smoking hotel,Outdoor fireplace,Outdoor furniture,ATM on site,24-hour front desk,Express check-in / check-out,Dry cleaning,Ironing service,Soundproof rooms,Air conditioning,Desk,Room service,Coffee / tea maker,Cable / satellite TV,Sofa bed,Bath / shower,Safe,Sofa,Telephone,VIP room facilities,Iron,Private bathrooms,Wake-up service / alarm clock,Refrigerator,Flatscreen TV,On-demand movies,Radio,Complimentary toiletries,Hair dryer,Non-smoking rooms,Suites,Family rooms",Atlanta,"HOTEL STYLE,Business,Green",,Atlanta Marriott Northeast/Emory Area,,4.5
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Free breakfast,Children Activities (Kid / Family Friendly),Pets Allowed ( Dog / Pet Friendly ),Free airport transportation,Indoor pool,Airport transportation,Business Center with Internet Access,Meeting rooms,Non-smoking hotel,24-hour front desk,Air conditioning,Desk,Housekeeping,Telephone,Private bathrooms,Kitchenette,Bath / shower,Non-smoking rooms,Suites",Atlanta,"Our new all-suite hotel is less than seven miles from Hartfield-Jackson Atlanta International Airport, Georgia International Convention Center and Delta Flight Museum. Stays always include free breakfast, free WiFi and a pet-friendly suite with kitchen, sofa and plenty of storage space.","3700 Princeton Lakes Pkwy, Atlanta, GA 30331",Home2 Suites by Hilton Atlanta Airport West,,2.0
"Free parking,Free High Speed Internet (WiFi),Vending machine,Non-smoking hotel,24-hour front desk,Air conditioning,Desk,Housekeeping,Seating area,Telephone,Microwave,Refrigerator,Bath / shower,Clothes rack,Wake-up service / alarm clock",Atlanta,,,Fulton Inn Motor Hotel,,2.0
"Valet parking,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Free breakfast,Children Activities (Kid / Family Friendly),Pets Allowed ( Dog / Pet Friendly ),Business Center with Internet Access,Banquet room,Paid private parking on-site,Wifi,Breakfast available,Vending machine,Baggage storage,Convenience store,Non-smoking hotel,24-hour front desk,Self-serve laundry,Air conditioning,Desk,Housekeeping,Telephone,Kitchenette,Microwave,Flatscreen TV,Bath / shower,Private bathrooms,Refrigerator,Non-smoking rooms,Suites",Atlanta,"HOTEL STYLE,Mid-range,Family","975 West Peachtree Street, Atlanta, GA 30309",Home2 Suites by Hilton Atlanta Midtown,,2.5
"Free parking,Free High Speed Internet (WiFi),Wifi,Restaurant,Vending machine,Pets Allowed ( Dog / Pet Friendly ),24-hour front desk,Laundry service,Air conditioning,Family rooms",Atlanta,"Motel 6 Atlanta GA is located near shopping and dining. Visit Perimeter Mall, Phipps Plaza and Chastain Park Amphitheater. Enjoy free WiFi in all guest rooms, unlimited local calls and fresh brewed morning coffee. We also offer a coin laundry facility.,HOTEL STYLE,Budget,Business",,"Motel 6 Atlanta, GA",,3.5
"Free parking,Parking,Free High Speed Internet (WiFi),Free breakfast,Pets Allowed ( Dog / Pet Friendly ),Non-smoking hotel,Laundry service,Self-serve laundry,Wifi,Vending machine,Air conditioning,Microwave,Refrigerator,Non-smoking rooms",Atlanta,"Free grab-and-go breakfast: Jumpstart your day with a free grab-and-go breakfast that includes a variety of breakfast bars and muffins, hot cereal, coffee, and tea.","1050 Hammond Dr, Atlanta, GA 30328-5329",Extended Stay America - Atlanta - Perimeter - Hammond Drive,,3.0
"Parking,Free High Speed Internet (WiFi),Outdoor pool,Fitness Center with Gym / Workout Room,Free breakfast,Pets Allowed ( Dog / Pet Friendly ),BBQ facilities,Non-smoking hotel,Wifi,Vending machine,Dry cleaning,Laundry service,Self-serve laundry,Air conditioning,Kitchenette,Microwave,Refrigerator,Non-smoking rooms,Suites",Atlanta,"Free grab-and-go breakfast: Jumpstart your day with a free grab-and-go breakfast that includes a variety of breakfast bars and muffins, hot cereal, coffee, and tea.","2474 Cumberland Pkwy SE, Atlanta, GA 30339-4502",Extended Stay America - Atlanta - Vinings,,3.5
"Free parking,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Complimentary Instant Coffee,Kids stay free,Business Center with Internet Access,Express check-in / check-out,Private check-in / check-out,Paid public parking nearby,Street parking,Wifi,Complimentary tea,Clothes dryer,Self-serve laundry,Washing machine,Air conditioning,Dining area,Clothes rack,Iron,Coffee / tea maker,Dishwasher,Flatscreen TV,Bath / shower,Private bathrooms,Microwave,Oven,Refrigerator,Stovetop,Electric kettle,Kitchenware,Complimentary toiletries,Hair dryer,Non-smoking rooms,Suites",Atlanta,"Dance your way from 549 Peachtree into Atlanta's legendary music scene and world-class dining. Situated in the SoNo neighborhood, this building blends industrial and modern design. Each apartment features exposed ceilings, chic decor, and expansive windows. Whip up breakfast in the fully equipped kitchen, set with stainless steel appliances. Or unwind on your private balcony. On the main floor, you'll have a fitness center and plenty of seating in the lounge (plus a shuffleboard table). Wherever this vibrant city takes you, 549 Peachtree offers the perfect space for work or play. Paid parking ($30/night) is non-refundable and valid from check-in to check-out. You acknowledge and agree that Sonder is not liable for any loss or damage that may occur to your vehicle or possessions while parked at our facilities. Private parking is provided for select apartments.","549 Peachtree St NE, Atlanta, GA 30308-2220",Sonder at 549 Peachtree,,3.5
"Free parking,Parking,Free High Speed Internet (WiFi),Free breakfast,Pets Allowed ( Dog / Pet Friendly ),24-hour front desk,Laundry service,Self-serve laundry,Wifi,Vending machine,Air conditioning,Microwave,Refrigerator,Flatscreen TV,Non-smoking rooms,Smoking rooms available",Atlanta,"Welcome to Super 8 Atlanta! We are located convenient to the Hartsfield Jackson Airport or downtown Atlanta. Nearby Attractions include Zoo Atlanta, Georgia Aquarium, Coca-Cola, Underground Atlanta, and the CNN Center. We recently fully renovated! Room renovations include new flooring, flat panel HDTV's, new Innov8te bedding, drapes, furniture, wall paint, light fixtures, vanities, and paint. Public area renovations include a redesigned lobby and breakfast area as well as a business center and outdoor garden sitting area. We speak spanish and Si hablamos Ingles.",,Super 8 by Wyndham Atlanta/Jonesboro Road,,3.0
"Free parking,Parking,Free High Speed Internet (WiFi),Free breakfast,Pets Allowed ( Dog / Pet Friendly ),Non-smoking hotel,Laundry service,Self-serve laundry,Wifi,Vending machine,Air conditioning,Housekeeping,Kitchenette,Microwave,Non-smoking rooms",Atlanta,"Free grab-and-go breakfast: Jumpstart your day with a free grab-and-go breakfast that includes a variety of breakfast bars and muffins, hot cereal, coffee, and tea.",,Extended Stay America - Atlanta - Clairmont,,3.5
"Free parking,Free High Speed Internet (WiFi),Pool,Free breakfast,Pets Allowed ( Dog / Pet Friendly ),Non-smoking hotel,Laundry service,Self-serve laundry,Parking,Wifi,Outdoor pool,Vending machine,Air conditioning,Kitchenette,Non-smoking rooms,Suites,Family rooms",Atlanta,"Free grab-and-go breakfast: Jumpstart your day with a free grab-and-go breakfast that includes a variety of breakfast bars and muffins, hot cereal, coffee, and tea.","2010 Powers Ferry Rd SE, Atlanta, GA 30339-5003",Extended Stay America - Atlanta - Marietta - Wildwood,,3.0
"Free parking,Free High Speed Internet (WiFi),Wifi,Children Activities (Kid / Family Friendly),Pets Allowed ( Dog / Pet Friendly ),Non-smoking hotel,Laundry service,Self-serve laundry,Air conditioning,Kitchenette,Microwave,Refrigerator,Non-smoking rooms,Suites",Atlanta,"Welcome to Extended Stay America Select - Atlanta - Chamblee! We are the perfect location for business travelers, students, tourists and those relocating to the Atlanta, GA area who need to find a home away from home for several nights, a week, a month or even longer. Our hotel is conveniently located off I-85. From our location, you can easily visit local attractions such as Stone Mountain Park, the Fernbank Museum, Zoo Atlanta and the High Museum of Art. When you stay at an Extended Stay America hotel, you’ll enjoy just the right amenities to make you feel at home. All our spacious suites feature amenities like fully equipped kitchens, free wi-fi and plenty of space to work, dine and relax. We also offer on-site guest laundry and pet-friendly rooms. Here at Extended Stay America, genuine care is who we are. Book your stay with us today!",,Extended Stay America Select Suites - Atlanta - Chamblee,,4.0
"Free parking,Free High Speed Internet (WiFi),Pool,Fitness Center with Gym / Workout Room,Bar / lounge,Children Activities (Kid / Family Friendly),Pets Allowed ( Dog / Pet Friendly ),Business Center with Internet Access,Parking,Wifi,Outdoor pool,Sauna,Restaurant,Conference facilities,Banquet room,Meeting rooms,Baggage storage,Newspaper,Non-smoking hotel,Shops,24-hour front desk,Dry cleaning,Laundry service,Self-serve laundry,Air conditioning,Housekeeping,Room service,Safe,Microwave,Flatscreen TV,Non-smoking rooms,Family rooms",Atlanta,"Welcome to the Holiday Inn Atlanta-Northlake ! We're located near Atlanta's most popular attractions, making this the perfect place to stay during your next trip to Atlanta! Business travelers also appreciate the location of our hotel being just 10 minutes from Emory Village, Kroger, USCIS Field Office, and Quest Diagnostic. Spacious work desks in every room, a business center, and fitness center will keep you performing at your best! Within walking distance, you can find Target, Publix, Panera Bread, Starbucks, Chick-fil-A, Red Lobster and so many more or you could allow us to serve you up a hot, cooked-to-order meal in our hotel restaurant Burger Theory ! Walk on over to Movie Tavern to enjoy a dine-in movie experience. We are also located less than 30 minutes away from Stone Mountain, CNN Center, Truist Park, State Farm Arena, Mercedes Benz Stadium, The Georgia Aquarium, Fernbank Museum of Natural History, and The World of Coke!,HOTEL STYLE,Mid-range","2158 Ranchwood Drive, Atlanta, GA 30345","Holiday Inn Atlanta-Northlake, an IHG Hotel",,3.5
"Free parking,Free High Speed Internet (WiFi),Free breakfast,Pets Allowed ( Dog / Pet Friendly ),Baggage storage,Non-smoking hotel,Express check-in / check-out,Private check-in / check-out,Street parking,Wifi,Complimentary Instant Coffee,Special diet menus,Outdoor furniture,Air conditioning,Iron,Private bathrooms,Kitchenette,Flatscreen TV,Bath / shower,Complimentary toiletries,Hair dryer,Non-smoking rooms,Suites,Family rooms",Atlanta,"HOTEL STYLE,Residential Neighborhood,Charming","548 Robinson Ave SE, Atlanta, GA 30315-2035",The Social Goat Bed & Breakfast,,5.0
"Paid private parking on-site,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Bar / lounge,Billiards,Patio,Children Activities (Kid / Family Friendly),Highchairs available,Parking garage,Public wifi,Restaurant,Breakfast available,Water park offsite,Board games / puzzles,Pets Allowed ( Dog / Pet Friendly ),Business Center with Internet Access,Meeting rooms,Baggage storage,Non-smoking hotel,First aid kit,24-hour front desk,Dry cleaning,Laundry service,Self-serve laundry,Blackout curtains,Air conditioning,Housekeeping,Interconnected rooms available,Safe,Coffee / tea maker,Cable / satellite TV,Walk-in shower,Seating area,Telephone,Bottled water,Clothes rack,Wake-up service / alarm clock,Refrigerator,Flatscreen TV,Complimentary toiletries,Hair dryer,Non-smoking rooms",Atlanta,"The new Aloft Atlanta at The Battery Atlanta features artful rooms with free Wi-Fi, grab-and-go food options at Re:fuel, and drinks and beats at W XYZ bar. The vibe is different, by design, and the location couldn't get any better.","950 Battery Avenue, Atlanta, GA 30339",Aloft Atlanta at The Battery Atlanta,,3.0
"Free parking,Free High Speed Internet (WiFi),Pool,Free breakfast,Golf course,Children Activities (Kid / Family Friendly),Non-smoking hotel,Dry cleaning,Parking,Wifi,Outdoor pool,Breakfast available,Laundry service,Self-serve laundry,Air conditioning,Refrigerator,Non-smoking rooms",Atlanta,"Make Quality Inn Atlanta Six Flags hotel your gateway for value in sunny Atlanta. Conveniently located off Interstate 20, our Atlanta, GA, hotel near Six Flags Over Georgia is just 10 miles from downtown Atlanta and only minutes from the hottest attractions like Turner Field and CNN Center. Feel refreshed and ready to go with free Daybreak breakfast each morning at our Atlanta, GA, hotel. Beat the heat with a refreshing swim in our outdoor pool and keep beverages fresh in your in-room refrigerator. All of our comfortable guest rooms come with free Wi-Fi Internet access so you can go online from your room. Free shuttle service to Six Flags Over Georgia is included and meeting space is available at reasonable rates.",,Quality Inn & Suites Near Six Flags East,,3.5
"Free parking,Free High Speed Internet (WiFi),Wifi,Bar / lounge,Pets Allowed ( Dog / Pet Friendly ),Airport transportation,Non-smoking hotel,Laundry service,Restaurant,Air conditioning,Non-smoking rooms",Atlanta,,"1865 Cheshire Bridge Rd NE Near the intersection of Piedmont Road, Atlanta, GA 30324-4923",Cheshire Motor Inn,,3.5
